buy_consensus,date,global_gold_usd_oz,global_gold_vnd_per_luong,mid_consensus,premium,premium_buy,premium_pct,premium_sell,primary_source,sell_consensus,source_count,source_dispersion,sources_active,spread_abs,spread_pct,usd_vnd
37680000.0,2011-07-06,1528.7,45779688.33,37710000.0,-8039688.33,-8099688.33,-0.1756,-8039688.33,sjc_official_history,37740000.0,1,0,sjc_official_history,60000.0,0.0016,20613.0
37780000.0,2011-07-07,1530.2,45824608.55,37810000.0,-7984608.55,-8044608.55,-0.1742,-7984608.55,sjc_official_history,37840000.0,1,0,sjc_official_history,60000.0,0.0016,20613.0
37760000.0,2011-07-08,1541.2,46142828.1,37790000.0,-8322828.1,-8382828.10,-0.1804,-8322828.10,sjc_official_history,37820000.0,1,0,sjc_official_history,60000.0,0.0016,20608.0
37920000.0,2011-07-09,1541.2,,37950000.0,,,,,sjc_official_history,37980000.0,1,0,sjc_official_history,60000.0,0.0016,
37920000.0,2011-07-10,1541.2,46142828.1,37950000.0,-8162828.1,-8222828.10,-0.1769,-8162828.10,sjc_official_history,37980000.0,1,0,sjc_official_history,60000.0,0.0016,20608.0
38020000.0,2011-07-11,1548.8,46370371.58,38050000.0,-8290371.58,-8350371.58,-0.1788,-8290371.58,sjc_official_history,38080000.0,1,0,sjc_official_history,60000.0,0.0016,20608.0
38080000.0,2011-07-12,1561.9,46762578.91,38115000.0,-8612578.91,-8682578.91,-0.1842,-8612578.91,sjc_official_history,38150000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
38580000.0,2011-07-13,1585.2,47460168.16,38615000.0,-8810168.16,-8880168.16,-0.1856,-8810168.16,sjc_official_history,38650000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
38960000.0,2011-07-14,1589.0,47573939.9,38995000.0,-8543939.9,-8613939.90,-0.1796,-8543939.90,sjc_official_history,39030000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
38850000.0,2011-07-15,1589.8,47597893.0,38885000.0,-8677893.0,-8747893.00,-0.1823,-8677893.00,sjc_official_history,38920000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
39040000.0,2011-07-16,1589.8,,39070000.0,,,,,sjc_official_history,39100000.0,1,0,sjc_official_history,60000.0,0.0015,
39040000.0,2011-07-17,1589.8,47597893.0,39070000.0,-8497893.0,-8557893.00,-0.1785,-8497893.00,sjc_official_history,39100000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
39360000.0,2011-07-18,1602.1,47966147.23,39390000.0,-8546147.23,-8606147.23,-0.1782,-8546147.23,sjc_official_history,39420000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
39570000.0,2011-07-19,1600.9,47930221.24,39605000.0,-8290221.24,-8360221.24,-0.173,-8290221.24,sjc_official_history,39640000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
39200000.0,2011-07-20,1596.7,47804472.95,39235000.0,-8534472.95,-8604472.95,-0.1785,-8534472.95,sjc_official_history,39270000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
39460000.0,2011-07-21,1586.8,47508074.36,39495000.0,-7978074.36,-8048074.36,-0.1679,-7978074.36,sjc_official_history,39530000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
39260000.0,2011-07-22,1601.3,47942197.79,39290000.0,-8622197.79,-8682197.79,-0.1798,-8622197.79,sjc_official_history,39320000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
39420000.0,2011-07-23,1601.3,,39455000.0,,,,,sjc_official_history,39490000.0,1,0,sjc_official_history,70000.0,0.0018,
39420000.0,2011-07-24,1601.3,47942197.79,39455000.0,-8452197.79,-8522197.79,-0.1763,-8452197.79,sjc_official_history,39490000.0,1,0,sjc_official_history,70000.0,0.0018,20608.0
39840000.0,2011-07-25,1612.0,48262549.48,39870000.0,-8362549.48,-8422549.48,-0.1733,-8362549.48,sjc_official_history,39900000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
39750000.0,2011-07-26,1616.6,48400270.66,39780000.0,-8590270.66,-8650270.66,-0.1775,-8590270.66,sjc_official_history,39810000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
39980000.0,2011-07-27,1615.0,48352368.12,40015000.0,-8302368.12,-8372368.12,-0.1717,-8302368.12,sjc_official_history,40050000.0,1,0,sjc_official_history,70000.0,0.0017,20608.0
39910000.0,2011-07-28,1613.4,48304465.57,39940000.0,-8334465.57,-8394465.57,-0.1725,-8334465.57,sjc_official_history,39970000.0,1,0,sjc_official_history,60000.0,0.0015,20608.0
