effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2011-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,
,,2011-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,
,,2011-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,
,,2011-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,
,,2011-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,
,,2011-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,
,,2011-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,
,,2011-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,
,,2011-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,
,,2011-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2011-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2011-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2011-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2011-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2011-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,
,,2012-01-09,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,
,,2012-01-10,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,
,,2012-01-11,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,
,,2012-01-12,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,
,,2012-01-13,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,
,,2012-01-14,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,
,,2012-01-15,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,
,,2012-01-16,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,
,,2012-01-17,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,
,,2012-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,
,,2012-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,
,,2012-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,
