asset,available_from,date,high,low,note,open,series_id,source,unit,value,volume
gld_spdr_gold_etf,2010-01-05,2010-01-04,110.14,109.31,no_shares_outstanding,109.82,GLD,yfinance_ticker_v2,usd_per_share,109.8,16224100.0
gld_spdr_gold_etf,2010-01-06,2010-01-05,110.39,109.26,no_shares_outstanding,109.88,GLD,yfinance_ticker_v2,usd_per_share,109.7,14213100.0
gld_spdr_gold_etf,2010-01-07,2010-01-06,111.77,110.41,no_shares_outstanding,110.71,GLD,yfinance_ticker_v2,usd_per_share,111.51,24981900.0
gld_spdr_gold_etf,2010-01-08,2010-01-07,111.29,110.62,no_shares_outstanding,111.07,GLD,yfinance_ticker_v2,usd_per_share,110.82,13609800.0
gld_spdr_gold_etf,2010-01-09,2010-01-08,111.58,110.26,no_shares_outstanding,111.52,GLD,yfinance_ticker_v2,usd_per_share,111.37,15894600.0
gld_spdr_gold_etf,2010-01-12,2010-01-11,113.59,112.52,no_shares_outstanding,113.34,GLD,yfinance_ticker_v2,usd_per_share,112.85,17253000.0
gld_spdr_gold_etf,2010-01-13,2010-01-12,113.05,110.14,no_shares_outstanding,112.38,GLD,yfinance_ticker_v2,usd_per_share,110.49,29182600.0
gld_spdr_gold_etf,2010-01-14,2010-01-13,111.57,109.57,no_shares_outstanding,110.92,GLD,yfinance_ticker_v2,usd_per_share,111.54,20014000.0
gld_spdr_gold_etf,2010-01-15,2010-01-14,112.37,110.79,no_shares_outstanding,111.51,GLD,yfinance_ticker_v2,usd_per_share,112.03,18305300.0
gld_spdr_gold_etf,2010-01-16,2010-01-15,112.01,110.38,no_shares_outstanding,111.35,GLD,yfinance_ticker_v2,usd_per_share,110.86,18002700.0
gld_spdr_gold_etf,2010-01-20,2010-01-19,111.75,110.83,no_shares_outstanding,110.95,GLD,yfinance_ticker_v2,usd_per_share,111.52,10468200.0
gld_spdr_gold_etf,2010-01-21,2010-01-20,110.05,108.46,no_shares_outstanding,109.97,GLD,yfinance_ticker_v2,usd_per_share,108.94,17535000.0
gld_spdr_gold_etf,2010-01-22,2010-01-21,108.78,106.61,no_shares_outstanding,108.48,GLD,yfinance_ticker_v2,usd_per_share,107.37,25748400.0
gld_spdr_gold_etf,2010-01-23,2010-01-22,107.68,106.01,no_shares_outstanding,106.93,GLD,yfinance_ticker_v2,usd_per_share,107.17,24210100.0
gld_spdr_gold_etf,2010-01-26,2010-01-25,107.72,107.07,no_shares_outstanding,107.44,GLD,yfinance_ticker_v2,usd_per_share,107.48,13200500.0
gld_spdr_gold_etf,2010-01-27,2010-01-26,107.99,106.75,no_shares_outstanding,106.87,GLD,yfinance_ticker_v2,usd_per_share,107.56,12297100.0
gld_spdr_gold_etf,2010-01-28,2010-01-27,108.8,106.16,no_shares_outstanding,107.53,GLD,yfinance_ticker_v2,usd_per_share,106.53,19005100.0
gld_spdr_gold_etf,2010-01-29,2010-01-28,107.23,105.18,no_shares_outstanding,107.18,GLD,yfinance_ticker_v2,usd_per_share,106.48,16793900.0
gld_spdr_gold_etf,2010-01-30,2010-01-29,106.3,105.27,no_shares_outstanding,105.88,GLD,yfinance_ticker_v2,usd_per_share,105.96,20278800.0
gld_spdr_gold_etf,2010-02-02,2010-02-01,108.48,106.37,no_shares_outstanding,106.64,GLD,yfinance_ticker_v2,usd_per_share,108.35,14901900.0
gld_spdr_gold_etf,2010-02-03,2010-02-02,109.6,108.61,no_shares_outstanding,109.16,GLD,yfinance_ticker_v2,usd_per_share,109.13,14292200.0
gld_spdr_gold_etf,2010-02-04,2010-02-03,109.54,108.43,no_shares_outstanding,109.1,GLD,yfinance_ticker_v2,usd_per_share,108.7,13393200.0
gld_spdr_gold_etf,2010-02-05,2010-02-04,106.8,103.75,no_shares_outstanding,106.79,GLD,yfinance_ticker_v2,usd_per_share,104.37,39991900.0
gld_spdr_gold_etf,2010-02-06,2010-02-05,104.68,102.28,no_shares_outstanding,103.76,GLD,yfinance_ticker_v2,usd_per_share,104.68,32656700.0
gld_spdr_gold_etf,2010-02-09,2010-02-08,105.14,104.0,no_shares_outstanding,104.41,GLD,yfinance_ticker_v2,usd_per_share,104.04,17176600.0
gld_spdr_gold_etf,2010-02-10,2010-02-09,106.15,104.87,no_shares_outstanding,105.18,GLD,yfinance_ticker_v2,usd_per_share,105.41,25959200.0
gld_spdr_gold_etf,2010-02-11,2010-02-10,105.5,104.11,no_shares_outstanding,105.13,GLD,yfinance_ticker_v2,usd_per_share,105.12,16215200.0
gld_spdr_gold_etf,2010-02-12,2010-02-11,107.56,105.27,no_shares_outstanding,105.58,GLD,yfinance_ticker_v2,usd_per_share,107.13,19350100.0
gld_spdr_gold_etf,2010-02-13,2010-02-12,107.1,105.57,no_shares_outstanding,106.08,GLD,yfinance_ticker_v2,usd_per_share,107.04,14464200.0
gld_spdr_gold_etf,2010-02-17,2010-02-16,109.87,109.1,no_shares_outstanding,109.45,GLD,yfinance_ticker_v2,usd_per_share,109.62,20895700.0
gld_spdr_gold_etf,2010-02-18,2010-02-17,110.01,108.87,no_shares_outstanding,109.66,GLD,yfinance_ticker_v2,usd_per_share,109.25,19593400.0
gld_spdr_gold_etf,2010-02-19,2010-02-18,110.11,109.19,no_shares_outstanding,109.61,GLD,yfinance_ticker_v2,usd_per_share,109.98,19177400.0
gld_spdr_gold_etf,2010-02-20,2010-02-19,110.39,108.81,no_shares_outstanding,109.32,GLD,yfinance_ticker_v2,usd_per_share,109.47,21928700.0
gld_spdr_gold_etf,2010-02-23,2010-02-22,109.97,108.66,no_shares_outstanding,109.86,GLD,yfinance_ticker_v2,usd_per_share,109.07,10742800.0
