build_timestamp,data_lineage,effective_from,effective_to,event_date,event_type,expected_channel,is_active,note,scope,severity,source,source_url
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-15,,2010-04-15,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-16,,2010-04-16,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-17,,2010-04-17,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-18,,2010-04-18,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-19,,2010-04-19,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-20,,2010-04-20,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-21,,2010-04-21,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-22,,2010-04-22,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-23,,2010-04-23,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-24,,2010-04-24,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-25,,2010-04-25,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-26,,2010-04-26,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-27,,2010-04-27,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-28,,2010-04-28,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-29,,2010-04-29,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-04-30,,2010-04-30,wedding_season,premium_spike,True,Wedding season spring window 2010 (Apr),domestic_vietnam,medium,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-01,,2010-05-01,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-02,,2010-05-02,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-03,,2010-05-03,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-04,,2010-05-04,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-05,,2010-05-05,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-06,,2010-05-06,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-07,,2010-05-07,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-08,,2010-05-08,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-09,,2010-05-09,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-10,,2010-05-10,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-11,,2010-05-11,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-12,,2010-05-12,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-13,,2010-05-13,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-14,,2010-05-14,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-15,,2010-05-15,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-16,,2010-05-16,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-17,,2010-05-17,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-18,,2010-05-18,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
2026-07-13T12:27:29.279829,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=wedding_season""}",2010-05-19,,2010-05-19,wedding_season,premium_spike,True,Wedding season spring window 2010 (May),domestic_vietnam,high,,
