buy,date,mid,pair,quote_type,raw_hash,sell,source
17786.93,2026-07-11,18254.295,AUD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,18542.0,vietcombank_fx_xml
18084.59,2026-07-11,18559.78,CAD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,18852.3,vietcombank_fx_xml
31825.55,2026-07-11,32661.800000000003,CHF/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,33176.58,vietcombank_fx_xml
3779.15,2026-07-11,3878.455,CNY/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,3939.58,vietcombank_fx_xml
3948.94,2026-07-11,4024.4449999999997,DKK/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,4099.95,vietcombank_fx_xml
29300.03,2026-07-11,30220.38,EUR/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,30844.77,vietcombank_fx_xml
34365.18,2026-07-11,35268.16499999999,GBP/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,35824.02,vietcombank_fx_xml
3257.69,2026-07-11,3353.515,HKD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,3416.43,vietcombank_fx_xml
274.09,2026-07-11,279.99,INR/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,285.89,vietcombank_fx_xml
156.96,2026-07-11,163.17000000000002,JPY/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,167.79,vietcombank_fx_xml
15.11,2026-07-11,17.5,KRW/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,18.21,vietcombank_fx_xml
84918.28,2026-07-11,86976.255,KWD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,89034.23,vietcombank_fx_xml
6397.64,2026-07-11,6467.23,MYR/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,6536.82,vietcombank_fx_xml
2640.52,2026-07-11,2696.505,NOK/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,2752.49,vietcombank_fx_xml
325.86,2026-07-11,343.28499999999997,RUB/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,360.71,vietcombank_fx_xml
6960.22,2026-07-11,7109.995000000001,SAR/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,7259.77,vietcombank_fx_xml
2667.83,2026-07-11,2724.39,SEK/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,2780.95,vietcombank_fx_xml
19829.5,2026-07-11,20371.239999999998,SGD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,20712.68,vietcombank_fx_xml
695.4,2026-07-11,789.04,THB/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,805.42,vietcombank_fx_xml
26060.0,2026-07-11,26280.0,USD/VND,cash_transfer_sell,df543427e2cd7be6997c4aaac2c3892bd56abee8af56bd1a6cf4803f64034f60,26470.0,vietcombank_fx_xml
