event_date,event_type,scope,severity,expected_channel,note,source
2010-04-15,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-16,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-17,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-18,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-19,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-20,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-21,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-22,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-23,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-24,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-25,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-26,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-27,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-28,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-29,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-04-30,wedding_season,domestic_vietnam,medium,premium_spike,Wedding season spring window 2010 (Apr),
2010-05-01,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-02,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-03,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-04,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-05,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-06,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-07,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-08,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-09,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-10,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-11,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-12,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
2010-05-13,wedding_season,domestic_vietnam,high,premium_spike,Wedding season spring window 2010 (May),
