buy_consensus,date,global_gold_usd_oz,global_gold_vnd_per_luong,mid_consensus,premium,premium_pct,primary_source,sell_consensus,source_count,source_dispersion,sources_active,spread_abs,spread_pct,usd_vnd
37540000.0,2011-07-06,1528.7,45617561.65,37570000.0,-8017561.65,-0.1758,sjc_official_history,37600000.0,1,0,sjc_official_history,60000.0,0.0016,20540.0
37680000.0,2011-07-07,1530.2,45640091.86,37710000.0,-7900091.86,-0.1731,sjc_official_history,37740000.0,1,0,sjc_official_history,60000.0,0.0016,20530.0
37780000.0,2011-07-08,1541.2,45979375.73,37810000.0,-8139375.73,-0.177,sjc_official_history,37840000.0,1,0,sjc_official_history,60000.0,0.0016,20535.0
37760000.0,2011-07-09,1541.2,,37790000.0,,,sjc_official_history,37820000.0,1,0,sjc_official_history,60000.0,0.0016,
37920000.0,2011-07-10,1541.2,,37950000.0,,,sjc_official_history,37980000.0,1,0,sjc_official_history,60000.0,0.0016,
37920000.0,2011-07-11,1548.8,46194862.6,37950000.0,-8214862.6,-0.1778,sjc_official_history,37980000.0,1,0,sjc_official_history,60000.0,0.0016,20530.0
38020000.0,2011-07-12,1561.9,46608276.93,38050000.0,-8528276.93,-0.183,sjc_official_history,38080000.0,1,0,sjc_official_history,60000.0,0.0016,20540.0
38080000.0,2011-07-13,1585.2,47315079.33,38115000.0,-9165079.33,-0.1937,sjc_official_history,38150000.0,1,0,sjc_official_history,70000.0,0.0018,20545.0
38580000.0,2011-07-14,1589.0,47416960.67,38615000.0,-8766960.67,-0.1849,sjc_official_history,38650000.0,1,0,sjc_official_history,70000.0,0.0018,20540.0
38960000.0,2011-07-15,1589.8,47452383.14,38995000.0,-8422383.14,-0.1775,sjc_official_history,39030000.0,1,0,sjc_official_history,70000.0,0.0018,20545.0
38850000.0,2011-07-16,1589.8,,38885000.0,,,sjc_official_history,38920000.0,1,0,sjc_official_history,70000.0,0.0018,
39040000.0,2011-07-17,1589.8,,39070000.0,,,sjc_official_history,39100000.0,1,0,sjc_official_history,60000.0,0.0015,
39040000.0,2011-07-18,1602.1,47807873.84,39070000.0,-8707873.84,-0.1821,sjc_official_history,39100000.0,1,0,sjc_official_history,60000.0,0.0015,20540.0
39360000.0,2011-07-19,1600.9,47760437.36,39390000.0,-8340437.36,-0.1746,sjc_official_history,39420000.0,1,0,sjc_official_history,60000.0,0.0015,20535.0
39570000.0,2011-07-20,1596.7,47611937.47,39605000.0,-7971937.47,-0.1674,sjc_official_history,39640000.0,1,0,sjc_official_history,70000.0,0.0018,20525.0
39200000.0,2011-07-21,1586.8,47328259.25,39235000.0,-8058259.25,-0.1703,sjc_official_history,39270000.0,1,0,sjc_official_history,70000.0,0.0018,20530.0
39460000.0,2011-07-22,1601.3,47760739.55,39495000.0,-8230739.55,-0.1723,sjc_official_history,39530000.0,1,0,sjc_official_history,70000.0,0.0018,20530.0
39260000.0,2011-07-23,1601.3,,39290000.0,,,sjc_official_history,39320000.0,1,0,sjc_official_history,60000.0,0.0015,
39420000.0,2011-07-24,1601.3,,39455000.0,,,sjc_official_history,39490000.0,1,0,sjc_official_history,70000.0,0.0018,
