buy_consensus,date,global_gold_usd_oz,global_gold_vnd_per_luong,mid_consensus,premium,premium_pct,primary_source,sell_consensus,source_count,source_dispersion,sources_active,spread_abs,spread_pct,usd_vnd
26620000.0,2010-01-02,,,26660000.0,,,giavang_sjc_archive,26700000.0,2,0.0,"giavang_sjc_archive,webgia_sjc_archive",80000.0,0.003,
26630000.0,2010-01-04,1117.7,29499715.31,26665000.0,-2799715.31,-0.0949,giavang_sjc_archive,26700000.0,2,84852.81,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,18167.0
26835000.0,2010-01-05,1118.1,29143161.36,26872500.0,-2233161.36,-0.0766,giavang_sjc_archive,26910000.0,2,67175.14,"giavang_sjc_archive,webgia_sjc_archive",75000.0,0.0028,17941.0
26805000.0,2010-01-06,1135.9,29607117.81,26840000.0,-2732117.81,-0.0923,giavang_sjc_archive,26875000.0,2,7071.07,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,17941.0
26940000.0,2010-01-07,1133.1,29534134.82,26982500.0,-2509134.82,-0.085,giavang_sjc_archive,27025000.0,2,53033.01,"giavang_sjc_archive,webgia_sjc_archive",85000.0,0.0031,17941.0
26790000.0,2010-01-08,1138.2,30103613.03,26825000.0,-3243613.03,-0.1077,giavang_sjc_archive,26860000.0,2,42426.41,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,18205.0
26885000.0,2010-01-09,1138.2,,26920000.0,,,giavang_sjc_archive,26955000.0,2,42426.41,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,
27130000.0,2010-01-11,1150.7,30422516.27,27170000.0,-3212516.27,-0.1056,giavang_sjc_archive,27210000.0,2,42426.41,"giavang_sjc_archive,webgia_sjc_archive",80000.0,0.0029,18198.0
27130000.0,2010-01-12,1128.9,29424663.53,27157500.0,-2239663.53,-0.0761,giavang_sjc_archive,27185000.0,2,10606.6,"giavang_sjc_archive,webgia_sjc_archive",55000.0,0.002,17941.0
26845000.0,2010-01-13,1136.4,29620150.26,26880000.0,-2705150.26,-0.0913,giavang_sjc_archive,26915000.0,2,28284.27,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,17941.0
26910000.0,2010-01-14,1142.6,29781751.35,26945000.0,-2801751.35,-0.0941,giavang_sjc_archive,26980000.0,2,63639.61,"giavang_sjc_archive,webgia_sjc_archive",70000.0,0.0026,17941.0
26855000.0,2010-01-15,1130.1,29455940.13,26885000.0,-2540940.13,-0.0863,giavang_sjc_archive,26915000.0,2,49497.47,"giavang_sjc_archive,webgia_sjc_archive",60000.0,0.0022,17941.0
26770000.0,2010-01-16,1130.1,,26802500.0,,,giavang_sjc_archive,26835000.0,2,10606.6,"giavang_sjc_archive,webgia_sjc_archive",65000.0,0.0024,
26795000.0,2010-01-18,,,26825000.0,,,giavang_sjc_archive,26855000.0,2,21213.2,"giavang_sjc_archive,webgia_sjc_archive",60000.0,0.0022,17941.0
26805000.0,2010-01-19,1139.7,29706162.51,26837500.0,-2836162.51,-0.0955,giavang_sjc_archive,26870000.0,2,10606.6,"giavang_sjc_archive,webgia_sjc_archive",65000.0,0.0024,17941.0
26790000.0,2010-01-20,1112.3,28991986.86,26820000.0,-2141986.86,-0.0739,giavang_sjc_archive,26850000.0,2,56568.54,"giavang_sjc_archive,webgia_sjc_archive",60000.0,0.0022,17941.0
26565000.0,2010-01-21,1102.7,28741761.3,26597500.0,-2111761.3,-0.0735,giavang_sjc_archive,26630000.0,2,38890.87,"giavang_sjc_archive,webgia_sjc_archive",65000.0,0.0024,17941.0
26330000.0,2010-01-22,1089.2,28389885.18,26360000.0,-1999885.18,-0.0704,giavang_sjc_archive,26390000.0,2,7071.07,"giavang_sjc_archive,webgia_sjc_archive",60000.0,0.0023,17941.0
26355000.0,2010-01-23,1089.2,,26382500.0,,,giavang_sjc_archive,26410000.0,2,10606.6,"giavang_sjc_archive,webgia_sjc_archive",55000.0,0.0021,
26425000.0,2010-01-25,1095.2,28546274.57,26450000.0,-2071274.57,-0.0726,giavang_sjc_archive,26475000.0,2,35355.34,"giavang_sjc_archive,webgia_sjc_archive",50000.0,0.0019,17941.0
26435000.0,2010-01-26,1097.9,28616651.7,26462500.0,-2126651.7,-0.0743,giavang_sjc_archive,26490000.0,2,53033.01,"giavang_sjc_archive,webgia_sjc_archive",55000.0,0.0021,17941.0
26415000.0,2010-01-27,1084.4,28264775.58,26442500.0,-1794775.58,-0.0635,giavang_sjc_archive,26470000.0,2,38890.87,"giavang_sjc_archive,webgia_sjc_archive",55000.0,0.0021,17941.0
26405000.0,2010-01-28,1083.6,28243922.39,26435000.0,-1778922.39,-0.063,giavang_sjc_archive,26465000.0,2,49497.47,"giavang_sjc_archive,webgia_sjc_archive",60000.0,0.0023,17941.0
