model,horizon_days,fold,phase,mae,rmse,directional_accuracy,pinball_loss
naive_zero_return,21,1,validation,0.012330402674166132,0.01653793668331386,0.010958904109589041,
historical_mean_return,21,1,validation,0.010503577819478329,0.01565301640258217,0.7506849315068493,
historical_median_return,21,1,validation,0.010155681795473786,0.015659434177930365,0.7506849315068493,
naive_zero_return,21,2,validation,0.03167232051079732,0.0487542372940686,0.02185792349726776,
historical_mean_return,21,2,validation,0.030853331526913115,0.04734709589006755,0.6010928961748634,
historical_median_return,21,2,validation,0.030460735871519116,0.04674343683465879,0.6010928961748634,
naive_zero_return,21,3,test,0.03086911199258702,0.04879338480701502,0.0273972602739726,
historical_mean_return,21,3,test,0.0330769299850742,0.051174819151085724,0.34794520547945207,
historical_median_return,21,3,test,0.033868967018965405,0.05191475032456409,0.34794520547945207,
naive_zero_return,21,4,test,0.0557356255366535,0.06750613859575934,0.0,
historical_mean_return,21,4,test,0.054580361026108366,0.06624805239041368,0.6608187134502924,
historical_median_return,21,4,test,0.05377043393129423,0.0654577263280788,0.6608187134502924,
naive_zero_return,63,1,validation,0.019329914914106634,0.025608704080862764,0.019178082191780823,
historical_mean_return,63,1,validation,0.019328981443364552,0.02547517320655886,0.5013698630136987,
historical_median_return,63,1,validation,0.020130762497335527,0.02901810738202834,0.4794520547945205,
naive_zero_return,63,2,validation,0.04990056796251744,0.06474696576669181,0.02185792349726776,
historical_mean_return,63,2,validation,0.049555391004727195,0.06475751061530677,0.6530054644808743,
historical_median_return,63,2,validation,0.05243594343605975,0.06507231199968602,0.3251366120218579,
naive_zero_return,63,3,test,0.10998230540657739,0.13257024994933617,0.0,
historical_mean_return,63,3,test,0.10911230831241923,0.13173156526374302,0.9178082191780822,
historical_median_return,63,3,test,0.11484803610654445,0.13727307515376702,0.0821917808219178,
naive_zero_return,63,4,test,0.1066871649810872,0.11751098613187055,0.007751937984496124,
historical_mean_return,63,4,test,0.11247207802765612,0.12269862399684986,0.15503875968992248,
historical_median_return,63,4,test,0.10397085942154587,0.11510929305580272,0.8372093023255814,
naive_zero_return,105,1,validation,0.037859919242100866,0.0498408252200231,0.0027397260273972603,
historical_mean_return,105,1,validation,0.03659074102642485,0.046881741465522514,0.6383561643835617,
historical_median_return,105,1,validation,0.03943453810224394,0.05284324343345629,0.3589041095890411,
naive_zero_return,105,2,validation,0.07274424984665202,0.08613313122282237,0.0,
historical_mean_return,105,2,validation,0.07055645432567442,0.08447048615380562,0.6666666666666666,
historical_median_return,105,2,validation,0.0738987463593619,0.08712718800646495,0.3333333333333333,
naive_zero_return,105,3,test,0.1846430871720911,0.20395837391994506,0.0,
historical_mean_return,105,3,test,0.1764629043357244,0.19650576541740325,0.9945205479452055,
historical_median_return,105,3,test,0.18717484609661345,0.2062689594325348,0.005479452054794521,
naive_zero_return,105,4,test,0.1302678903331443,0.14992642993305053,0.0,
historical_mean_return,105,4,test,0.14459247513357917,0.16564905978364136,0.19540229885057472,
historical_median_return,105,4,test,0.1301010788867317,0.14972338991823878,0.8045977011494253,
sarimax_exog,21,1,validation,0.011367077747888818,0.017242842802309123,0.7506849315068493,
sarimax_exog,21,2,test,0.03491398940810926,0.05300156537431215,0.37534246575342467,
sarimax_exog,63,1,validation,0.06531543708747879,0.07384008937346628,0.4794520547945205,
sarimax_exog,63,2,test,0.12867436721316758,0.14954142652111244,0.2356164383561644,
sarimax_exog,105,1,validation,0.09764605243499014,0.1142307697351774,0.35342465753424657,
sarimax_exog,105,2,test,0.11687115659628249,0.12763403965384887,0.9945205479452055,
ridge,21,1,validation,0.02323220892649509,0.028785057308990055,0.6547945205479452,
