build_timestamp,data_lineage,effective_from,effective_to,event_date,event_type,expected_channel,is_active,note,scope,severity,source,source_url
2026-07-10T14:10:36.071618,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-20,,2011-01-20,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.071750,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-21,,2011-01-21,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.071848,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-22,,2011-01-22,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.071938,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-23,,2011-01-23,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.072023,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-24,,2011-01-24,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.072105,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-25,,2011-01-25,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.072186,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-26,,2011-01-26,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.072264,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-27,,2011-01-27,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.072342,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-28,,2011-01-28,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.072419,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-29,,2011-01-29,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072523,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-30,,2011-01-30,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072605,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-01-31,,2011-01-31,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072713,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-01,,2011-02-01,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072779,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-02,,2011-02-02,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072856,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2011-02-03,,2011-02-03,tet_proximity,premium_spike,True,Tết proximity (Tết 2011: 2011-02-03),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.072932,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-09,,2012-01-09,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073008,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-10,,2012-01-10,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073078,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-11,,2012-01-11,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073134,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-12,,2012-01-12,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073188,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-13,,2012-01-13,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073241,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-14,,2012-01-14,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.073294,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-15,,2012-01-15,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.073347,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-16,,2012-01-16,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.073399,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-17,,2012-01-17,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.073451,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-18,,2012-01-18,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073503,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-19,,2012-01-19,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073578,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-20,,2012-01-20,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073654,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-21,,2012-01-21,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073729,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-22,,2012-01-22,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073807,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2012-01-23,,2012-01-23,tet_proximity,premium_spike,True,Tết proximity (Tết 2012: 2012-01-23),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.073882,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-01-27,,2013-01-27,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.073957,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-01-28,,2013-01-28,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.074032,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-01-29,,2013-01-29,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.074108,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-01-30,,2013-01-30,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.074183,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-01-31,,2013-01-31,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,low,rule_generated,
2026-07-10T14:10:36.074258,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-01,,2013-02-01,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.074333,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-02,,2013-02-02,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.074409,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-03,,2013-02-03,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.074484,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-04,,2013-02-04,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,medium,rule_generated,
2026-07-10T14:10:36.074586,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-05,,2013-02-05,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.074662,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-06,,2013-02-06,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.074738,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-07,,2013-02-07,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.074813,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-08,,2013-02-08,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.074889,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-09,,2013-02-09,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.074964,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2013-02-10,,2013-02-10,tet_proximity,premium_spike,True,Tết proximity (Tết 2013: 2013-02-10),domestic_vietnam,high,rule_generated,
2026-07-10T14:10:36.075041,"{""sources"": [""gold_event_panel.csv + build_event_panel.py""], ""transform"": ""event_type=tet_proximity""}",2014-01-17,,2014-01-17,tet_proximity,premium_spike,True,Tết proximity (Tết 2014: 2014-01-31),domestic_vietnam,low,rule_generated,
