date,bank,tenor_months,currency,rate_pct_annual,rate_type,source_type,source_url,published_at,available_from,history_status,raw_hash,note
2026-07-16,vietinbank,1,VND,2.1,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,2,VND,2.1,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,3,VND,2.4,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,4,VND,2.4,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,5,VND,2.4,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,6,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,7,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,8,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,9,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,10,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,11,VND,3.5,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,12,VND,5.9,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,18,VND,5.9,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,24,VND,6.0,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
2026-07-16,vietinbank,36,VND,6.0,retail_deposit_current,official_bank_current,https://vietinbank.vn/vi/lai-suat-khcn,2026-07-16,2026-07-16,forward_monitoring_only,4f9f34f7977fd28175a6a186a0f3c6fbab1bff568c1f9633d6be0780249d9617,Current posted rate parsed from official bank page; not historical backfill.
