branch,business_date,buy,crawl_mode,currency,date,gold_type,provider,raw_hash,reference_date,sell,source,spread,timestamp,unit
Giá vàng nữ trang,2024-04-12,75450000.0,,VND,2024-04-12,Nhẫn PNJ (24K),PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,77200000.0,giavang_pnj_archive,1.75,15:19:18 12/04/2024,VND/lượng
Giá vàng nữ trang,2024-04-12,74900000.0,,VND,2024-04-12,Nhẫn PNJ (24K),PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,76600000.0,giavang_pnj_archive,1.6999999999999886,08:03:06 12/04/2024,VND/lượng
Hà Nội,2024-04-12,75450000.0,,VND,2024-04-12,PNJ,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,77250000.0,giavang_pnj_archive,1.7999999999999972,15:19:18 12/04/2024,VND/lượng
Hà Nội,2024-04-12,74900000.0,,VND,2024-04-12,PNJ,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,76700000.0,giavang_pnj_archive,1.7999999999999972,08:03:06 12/04/2024,VND/lượng
Miền Tây,2024-04-12,75450000.0,,VND,2024-04-12,PNJ,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,77250000.0,giavang_pnj_archive,1.7999999999999972,15:19:18 12/04/2024,VND/lượng
Miền Tây,2024-04-12,74900000.0,,VND,2024-04-12,PNJ,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,76700000.0,giavang_pnj_archive,1.7999999999999972,08:03:06 12/04/2024,VND/lượng
Nữ trang 10K,2024-04-12,31600000.0,,VND,2024-04-12,30.200,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,8000000.0,giavang_pnj_archive,-23.6,,VND/lượng
Nữ trang 10K,2024-04-12,31810000.0,,VND,2024-04-12,30.410,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,15000000.0,giavang_pnj_archive,-16.81,,VND/lượng
Nữ trang 14K,2024-04-12,44380000.0,,VND,2024-04-12,42.980,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,8000000.0,giavang_pnj_archive,-36.38,,VND/lượng
Nữ trang 14K,2024-04-12,44670000.0,,VND,2024-04-12,43.270,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,15000000.0,giavang_pnj_archive,-29.67,,VND/lượng
Nữ trang 18K,2024-04-12,56850000.0,,VND,2024-04-12,55.450,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,8000000.0,giavang_pnj_archive,-48.85,,VND/lượng
Nữ trang 18K,2024-04-12,57230000.0,,VND,2024-04-12,55.830,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,15000000.0,giavang_pnj_archive,-42.23,,VND/lượng
Nữ trang 24K,2024-04-12,75600000.0,,VND,2024-04-12,74.800,PNJ,8b029f170f28f240288141d36ee8009d85648eb3deb7d405b006a8e50e976c29,,8000000.0,giavang_pnj_archive,-67.6,,VND/lượng
